order_id,order_name,stage,time,timestamp,resource,queue_recv,queue_pick,queue_ship,queue_deliv
19,Order19,deliver_start,178.37797833962043,2025-07-20 11:58:22.678700,Delivery,0,0,0,8
29,Order29,verify_start,178.54145491671247,2025-07-20 11:58:32.487295,,0,0,0,8
29,Order29,verify_end,179.64702468751443,2025-07-20 11:59:38.821481,,0,0,0,8
29,Order29,pick_start,179.64702468751443,2025-07-20 11:59:38.821481,Picking,0,0,0,8
30,Order30,verify_start,179.90052894252776,2025-07-20 11:59:54.031737,,0,0,0,8
31,Order31,verify_start,180.61014345052965,2025-07-20 12:00:36.608607,,0,0,0,8
29,Order29,pick_end,180.611423941871,2025-07-20 12:00:36.685437,Picking,0,0,0,8
29,Order29,pack_start,180.611423941871,2025-07-20 12:00:36.685437,,0,0,0,8
31,Order31,verify_end,181.2500741372287,2025-07-20 12:01:15.004448,,0,0,0,8
31,Order31,pick_start,181.2500741372287,2025-07-20 12:01:15.004448,Picking,0,0,0,8
30,Order30,verify_end,182.64183980628104,2025-07-20 12:02:38.510388,,0,0,0,8
19,Order19,deliver_end,182.78755831740364,2025-07-20 12:02:47.253499,Delivery,0,1,0,8
19,Order19,delivered,182.78755831740364,2025-07-20 12:02:47.253499,,0,1,0,7
20,Order20,deliver_start,182.78755831740364,2025-07-20 12:02:47.253499,Delivery,0,1,0,7
28,Order28,pick_end,183.2484953803961,2025-07-20 12:03:14.909723,Picking,0,1,0,7
28,Order28,pack_start,183.2484953803961,2025-07-20 12:03:14.909723,,0,0,0,7
30,Order30,pick_start,183.2484953803961,2025-07-20 12:03:14.909723,Picking,0,0,0,7
29,Order29,pack_end,183.6821213340548,2025-07-20 12:03:40.927280,,0,0,0,7
29,Order29,ship_start,183.6821213340548,2025-07-20 12:03:40.927280,Shipping,0,0,0,7
28,Order28,pack_end,184.37642498120957,2025-07-20 12:04:22.585499,,0,0,0,7
28,Order28,ship_start,184.37642498120957,2025-07-20 12:04:22.585499,Shipping,0,0,0,7
32,Order32,verify_start,184.8421375292362,2025-07-20 12:04:50.528252,,0,0,0,7
30,Order30,pick_end,185.45216069434306,2025-07-20 12:05:27.129642,Picking,0,0,0,7
30,Order30,pack_start,185.45216069434306,2025-07-20 12:05:27.129642,,0,0,0,7
30,Order30,pack_end,185.65936897044332,2025-07-20 12:05:39.562138,,0,0,0,7
31,Order31,pick_end,187.8406482546626,2025-07-20 12:07:50.438895,Picking,0,0,1,7
31,Order31,pack_start,187.8406482546626,2025-07-20 12:07:50.438895,,0,0,1,7
31,Order31,pack_end,188.66956694134223,2025-07-20 12:08:40.174016,,0,0,1,7
20,Order20,deliver_end,188.90492496620408,2025-07-20 12:08:54.295498,Delivery,0,0,2,7
20,Order20,delivered,188.90492496620408,2025-07-20 12:08:54.295498,,0,0,2,6
21,Order21,deliver_start,188.90492496620408,2025-07-20 12:08:54.295498,Delivery,0,0,2,6
32,Order32,verify_end,188.9876834763412,2025-07-20 12:08:59.261009,,0,0,2,6
